team,avg_goals_for,avg_goals_against,avg_xg_for,avg_xg_against,win_rate,draw_rate,loss_rate,matches_played,goal_difference_per_match,xg_difference_per_match
AC Milan,2.1818181818181817,2.0,1.5727272727272728,1.4090909090909092,0.45454545454545453,0.09090909090909091,0.45454545454545453,11,0.18181818181818166,0.16363636363636358
AS Roma,1.9090909090909092,0.2727272727272727,1.9454545454545453,0.43636363636363634,0.9090909090909091,0.0,0.09090909090909091,11,1.6363636363636365,1.509090909090909
ASD Calcio Pomigliano,1.0,2.0,0.9727272727272727,1.7545454545454546,0.2727272727272727,0.09090909090909091,0.6363636363636364,11,-1.0,-0.781818181818182
Alavés,1.0,3.090909090909091,0.7818181818181817,2.109090909090909,0.09090909090909091,0.2727272727272727,0.6363636363636364,11,-2.090909090909091,-1.3272727272727272
Alhama,0.45454545454545453,2.0,0.7000000000000001,1.4909090909090912,0.09090909090909091,0.0,0.9090909090909091,11,-1.5454545454545454,-0.7909090909090911
Angel City,1.2580645161290323,1.5161290322580645,1.2645161290322582,1.4580645161290324,0.3225806451612903,0.2903225806451613,0.3870967741935484,31,-0.25806451612903225,-0.19354838709677424
Angel City FC,1.3225806451612903,1.6129032258064515,1.3516129032258064,1.5193548387096774,0.2903225806451613,0.22580645161290322,0.4838709677419355,31,-0.29032258064516125,-0.16774193548387095
Arsenal,2.625,0.5,2.0,0.7,0.875,0.0,0.125,8,2.125,1.3
Aston Villa,1.5,1.875,1.3375,1.1,0.5,0.0,0.5,8,-0.375,0.23749999999999982
Athletic Club,1.4545454545454546,1.8181818181818181,1.009090909090909,1.3272727272727272,0.36363636363636365,0.09090909090909091,0.5454545454545454,11,-0.36363636363636354,-0.3181818181818181
Atlético Madrid,1.9090909090909092,1.1818181818181819,1.8454545454545455,0.9,0.6363636363636364,0.18181818181818182,0.18181818181818182,11,0.7272727272727273,0.9454545454545454
Barcelona,4.090909090909091,0.36363636363636365,2.9545454545454546,0.5636363636363636,1.0,0.0,0.0,11,3.727272727272727,2.390909090909091
Bay FC,1.15,1.5,1.365,1.3725,0.375,0.1,0.525,40,-0.3500000000000001,-0.007500000000000062
Bayern Munich,2.6666666666666665,0.3333333333333333,2.0444444444444443,0.5555555555555556,0.7777777777777778,0.1111111111111111,0.1111111111111111,9,2.333333333333333,1.4888888888888887
Bordeaux,1.4,1.3,1.2399999999999998,0.9199999999999999,0.4,0.3,0.3,10,0.09999999999999987,0.31999999999999984
Brighton,1.375,3.625,1.2875,2.0875,0.25,0.125,0.625,8,-2.25,-0.7999999999999998
Chelsea,3.111111111111111,0.6666666666666666,2.0,0.7555555555555555,0.8888888888888888,0.0,0.1111111111111111,9,2.4444444444444446,1.2444444444444445
Chicago Stars,1.2698412698412698,1.492063492063492,1.2841269841269842,1.4936507936507935,0.4126984126984127,0.12698412698412698,0.4603174603174603,63,-0.22222222222222232,-0.20952380952380922
Courage,1.2105263157894737,1.280701754385965,1.5385964912280703,1.4421052631578948,0.3333333333333333,0.14035087719298245,0.5263157894736842,57,-0.07017543859649122,0.09649122807017552
Current,1.53125,1.25,1.559375,1.09375,0.46875,0.1875,0.34375,32,0.28125,0.46562499999999996
Dash,0.8867924528301887,1.471698113207547,1.0830188679245283,1.679245283018868,0.32075471698113206,0.1320754716981132,0.5471698113207547,53,-0.5849056603773584,-0.5962264150943397
Dijon,0.6,2.8,0.78,1.98,0.2,0.2,0.6,10,-2.1999999999999997,-1.2
E. Frankfurt,2.2222222222222223,1.4444444444444444,1.7000000000000002,0.7666666666666667,0.6666666666666666,0.2222222222222222,0.1111111111111111,9,0.7777777777777779,0.9333333333333335
Essen,0.7777777777777778,2.7777777777777777,1.1444444444444446,1.6444444444444446,0.2222222222222222,0.1111111111111111,0.6666666666666666,9,-2.0,-0.5
Everton,0.875,1.25,0.7125,1.5625,0.375,0.0,0.625,8,-0.375,-0.85
FC Como Women,1.4545454545454546,2.272727272727273,1.1818181818181819,1.7636363636363634,0.09090909090909091,0.36363636363636365,0.5454545454545454,11,-0.8181818181818183,-0.5818181818181816
Fiorentina,1.5454545454545454,1.4545454545454546,1.5363636363636366,1.3454545454545455,0.6363636363636364,0.09090909090909091,0.2727272727272727,11,0.09090909090909083,0.19090909090909114
Fleury,1.7,0.9,1.35,0.9199999999999999,0.4,0.3,0.3,10,0.7999999999999999,0.43000000000000016
Freiburg,2.7777777777777777,1.8888888888888888,1.8333333333333333,1.2777777777777777,0.6666666666666666,0.0,0.3333333333333333,9,0.8888888888888888,0.5555555555555556
Gotham FC,1.3333333333333333,0.9,1.3611111111111112,1.2633333333333334,0.4666666666666667,0.28888888888888886,0.24444444444444444,90,0.43333333333333324,0.09777777777777774
Guingamp,0.5,2.0,0.9899999999999999,1.67,0.1,0.1,0.8,10,-1.5,-0.68
Hoffenheim,2.111111111111111,2.0,1.5555555555555556,1.8444444444444446,0.5555555555555556,0.1111111111111111,0.3333333333333333,9,0.11111111111111116,-0.288888888888889
Houston Dash,0.9642857142857143,1.2678571428571428,1.2732142857142856,1.4857142857142858,0.23214285714285715,0.32142857142857145,0.44642857142857145,56,-0.3035714285714285,-0.21250000000000013
Internazionale,2.3636363636363638,1.1818181818181819,1.8,1.3363636363636362,0.45454545454545453,0.36363636363636365,0.18181818181818182,11,1.1818181818181819,0.46363636363636385
Juventus,2.5454545454545454,0.9090909090909091,2.0090909090909093,0.8363636363636363,0.6363636363636364,0.2727272727272727,0.09090909090909091,11,1.6363636363636362,1.1727272727272728
Kansas City,0.5,1.9166666666666667,0.975,1.9083333333333332,0.0,0.25,0.75,12,-1.4166666666666667,-0.9333333333333332
Kansas City Current,1.8372093023255813,1.2325581395348837,1.8162790697674418,1.1232558139534883,0.5581395348837209,0.16279069767441862,0.27906976744186046,43,0.6046511627906976,0.6930232558139535
Köln,1.1111111111111112,1.8888888888888888,1.2888888888888888,1.4666666666666666,0.3333333333333333,0.0,0.6666666666666666,9,-0.7777777777777777,-0.1777777777777778
Le Havre,1.7,1.6,1.17,1.64,0.4,0.1,0.5,10,0.09999999999999987,-0.47
Leicester City WFC,0.2222222222222222,2.7777777777777777,0.4222222222222223,1.4555555555555555,0.0,0.0,1.0,9,-2.5555555555555554,-1.0333333333333332
Levante,2.727272727272727,1.2727272727272727,2.1454545454545455,0.8272727272727273,0.6363636363636364,0.18181818181818182,0.18181818181818182,11,1.4545454545454544,1.3181818181818183
Levante Planas,1.0,2.4545454545454546,0.9181818181818181,1.9636363636363638,0.18181818181818182,0.18181818181818182,0.6363636363636364,11,-1.4545454545454546,-1.0454545454545459
Leverkusen,1.6666666666666667,1.5555555555555556,1.588888888888889,1.188888888888889,0.4444444444444444,0.0,0.5555555555555556,9,0.11111111111111116,0.3999999999999999
Liverpool,1.2222222222222223,1.7777777777777777,1.2555555555555555,1.3555555555555554,0.2222222222222222,0.2222222222222222,0.5555555555555556,9,-0.5555555555555554,-0.09999999999999987
Louisville,0.9523809523809523,1.7142857142857142,1.2214285714285713,1.7619047619047619,0.14285714285714285,0.3333333333333333,0.5238095238095238,42,-0.7619047619047619,-0.5404761904761906
